Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Hypertension During Pregnancy,"Antihypertensives, delivery (severe).","BP, urine protein, labs.","BP >140/90, edema, headache.","Antihypertensives, delivery (severe). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mini Stroke (TIA),"Antiplatelets, risk factor control.","MRI, carotid ultrasound.","Brief weakness, speech loss, vision changes.","Antiplatelets, risk factor control. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Asthma, Allergic","ICS, avoidance, albuterol.","Spirometry, allergy testing.","Wheezing, dyspnea, triggered by allergens.","ICS, avoidance, albuterol. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Intravenous Chemotherapy,"IV drugs (e.g., cisplatin), supportive care.",N/A (based on cancer type).,N/A (cancer treatment).,"intravenous drugs (e.g., cisplatin), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
EnthesitisRelated Juvenile Idiopathic Arthritis,"NSAIDs, biologics (e.g., adalimumab).","Clinical, HLAB27, imaging.","Joint pain, entheseal tenderness, stiffness.","NSAIDs, biologics (e.g., adalimumab). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Jaw Wiring,"Wiring, liquid diet, removal.","Xray (if fracture), clinical.","(Pretreatment) Fracture, obesity.","Wiring, liquid diet, removal. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ulcer Pain,"PPI (GI), wound care (skin).","Endoscopy (GI), exam (skin).","Burning pain, epigastric or leg.","PPI (GI), wound care (skin). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Frown Lines,"Botox, fillers.",Clinical exam.,"Forehead wrinkles, cosmetic concern.","Botox, fillers. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Warts (Common Warts),"Cryotherapy, salicylic acid.",Clinical exam.,"Rough, painless skin growths (HPV).","Cryotherapy, salicylic acid. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cysticercus cellulosae (Cysticercosis),"Albendazole, steroids.","CT/MRI, serology.","Seizures, muscle nodules (Taenia solium).","Albendazole, steroids. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CDAD (Clostridioides difficile Infection),"Vancomycin, fidaxomicin.","Stool toxin, PCR.","Watery diarrhea, fever, pain.","Vancomycin, fidaxomicin. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Enteritis, Noninfectious","Treat cause (e.g., steroids).","Endoscopy, biopsy, rule out infection.","Diarrhea, pain, no infection (e.g., Crohn’s).","Treat cause (e.g., steroids). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Specific Phobia,"Exposure therapy, CBT.","DSM5, clinical interview.",Intense fear of specific object/situation.,"Exposure therapy, CBT. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperuricemia Secondary to Chemotherapy,"Allopurinol, rasburicase, hydration.","Uric acid levels, labs.","Joint pain, kidney issues (tumor lysis).","Allopurinol, rasburicase, hydration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Venous Insufficiency,"Compression, surgery (severe).",Doppler ultrasound.,"Leg swelling, varicose veins, ulcers.","Compression, surgery (severe). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Exaggerated Startle Disease (Hyperekplexia),Clonazepam.,"Genetic testing (GLRA1), clinical.","Excessive startle, stiffness (infants).",Clonazepam. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Abortion Induction in Ectopic Pregnancy,"Methotrexate, surgery (salpingectomy).","Ultrasound, hCG.","(Pretreatment) Pain, bleeding, ectopic.","Methotrexate, surgery (salpingectomy). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
TURP (Transurethral Prostatectomy),"Surgical resection, catheter care.","DRE, PSA, uroflowmetry.","(Pretreatment) BPH, urinary retention.","Surgical resection, catheter care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Painful Intercourse (Dyspareunia),"Treat cause (e.g., lubricants, therapy).","Exam, history, rule out infection.","Pain during sex, varies by cause.","Treat cause (e.g., lubricants, therapy). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Yaws (Frambesia Tropica),"Azithromycin, penicillin.","Serology (RPR), clinical.","Skin lesions, bone pain (treponemal).","Azithromycin, penicillin. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Acute Middle Ear Infection (Otitis Media),"Amoxicillin, pain relief.",Otoscopy (bulging TM).,"Ear pain, fever, hearing loss.","Amoxicillin, pain relief. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chancroid,"Azithromycin, ceftriaxone.","Culture (H. ducreyi), clinical.","Painful genital ulcers, lymphadenopathy.","Azithromycin, ceftriaxone. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Child Maltreatment Psychological Abuse,"Therapy, social services.","History, behavioral signs.","Fear, withdrawal, low selfesteem.","Therapy, social services. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ankle Fracture,"Casting, surgery (if displaced).","Xray, CT (if complex).","Pain, swelling, deformity.","Casting, surgery (if displaced). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
PROS (PIK3CARelated Overgrowth Spectrum),"Surgery, sirolimus (targeted).",Genetic testing (PIK3CA).,"Overgrowth (limbs, tissues), vascular anomalies.","Surgery, sirolimus (targeted). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Goiter,"Treat cause (e.g., iodine, surgery).","Ultrasound, TSH.","Neck swelling, dysphagia, thyroid dysfunction.","Treat cause (e.g., iodine, surgery). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Scapular Fracture,"Sling, surgery (if displaced).","Xray, CT.","Shoulder pain, limited motion, trauma.","Sling, surgery (if displaced). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Arteriosclerotic Dementia (Vascular Dementia),"Manage vascular risk, supportive.","MRI (infarcts), cognitive testing.","Memory loss, stepwise decline.","Manage vascular risk, supportive. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dermatographia (Dermatographism),Antihistamines.,Clinical (skin stroking test).,"Skin welts from scratching, itching.",Antihistamines. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Embolization,"Coils/particles, monitor.",Angiography (target vessel).,N/A (treatment for bleeding/tumors).,"Coils/particles, monitor. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Transient Global Amnesia,"Observation, reassurance.","Clinical, rule out stroke.","Sudden memory loss, repetitive questions.","Observation, reassurance. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dental Cavities,"Fillings, root canal (severe).","Dental exam, Xray.","Tooth pain, sensitivity, holes.","Fillings, root canal (severe). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Q Fever (Coxiella burnetii),Doxycycline.,"Serology, PCR.","Fever, headache, pneumonia, hepatitis.",Doxycycline. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Intravascular Volume Depletion,"IV fluids, treat cause.","Clinical, labs (e.g., BUN).","Hypotension, tachycardia, dry mucous.","intravenous fluids, treat cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pain Management,"NSAIDs, opioids, adjuncts (e.g., gabapentin).","Pain assessment (scale, cause).",N/A (treatment modality).,"NSAIDs, opioids, adjuncts (e.g., gabapentin). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Adult CPR Steps,"30:2 compressions, AED, ventilations.",Cardiac arrest (no pulse).,N/A (emergency procedure).,"30:2 compressions, AED, ventilations. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cervical Dysplasia,"LEEP, cryotherapy, monitor.","Colposcopy, biopsy (CIN).","Often asymptomatic, abnormal Pap.","LEEP, cryotherapy, monitor. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Liver Fluke (e.g., Fasciola)",Triclabendazole.,"Stool microscopy, serology.","RUQ pain, fever, eosinophilia.",Triclabendazole. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Heart Attack vs. Heartburn,"MI: PCI, aspirin; HB: PPI.","ECG, troponin (MI); history (HB).","Chest pain (MI: severe, radiating; HB: burning).","MI: PCI, aspirin; HB: PPI. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Varicocele,"Observation, surgery (if symptomatic).","Ultrasound, clinical exam.","Scrotal swelling, dull ache, infertility.","Observation, surgery (if symptomatic). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
E. coli O157:H7 Infection,"Supportive, avoid antibiotics.","Stool culture, Shiga toxin.","Bloody diarrhea, cramps, HUS risk.","Supportive, avoid antibiotics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Myelodysplastic Syndromes,"Transfusions, lenalidomide, transplant.","Bone marrow biopsy, cytogenetics.","Anemia, infections, bleeding.","Transfusions, lenalidomide, transplant. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Social Anxiety Disorder in Children,"CBT, SSRIs.","DSM5, clinical interview.","Fear of social settings, avoidance.","CBT, SSRIs. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
TN Pain (Trigeminal Neuralgia),"Carbamazepine, surgery.","Clinical, MRI.","Facial pain, electric shocks, unilateral.","Carbamazepine, surgery. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Lymphoma, Lymphoblastic","Chemo (e.g., ALLlike regimens).","Biopsy, PETCT.","Lymphadenopathy, B symptoms, mass effect.","Chemo (e.g., ALLlike regimens). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Endocarditis in Children,"Antibiotics, surgery (if severe).","Echo, blood cultures (Duke criteria).","Fever, murmur, embolic signs.","Antibiotics, surgery (if severe). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hoarseness,"Treat cause (e.g., rest, surgery).","Laryngoscopy, history.","Raspy voice, varies by cause.","Treat cause (e.g., rest, surgery). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Popcorn Lung (Bronchiolitis Obliterans),"Steroids, supportive.","PFTs, CT, biopsy.","Dyspnea, dry cough, fixed obstruction.","Steroids, supportive. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
ASPS (Alveolar Soft Part Sarcoma),"Surgery, targeted therapy.","Biopsy, imaging (mets).","Painless mass, often extremities.","Surgery, targeted therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Neurofibromatosis1 (NF1),"Monitoring, surgery (tumors).","Clinical criteria, NF1 gene.","Caféaulait spots, neurofibromas.","Monitoring, surgery (tumors). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mental Health (General),"Therapy, meds, lifestyle.","Clinical, scales (e.g., PHQ9).","Varies (e.g., mood, anxiety).","Therapy, meds, lifestyle. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Astigmatism,"Glasses, contacts, LASIK.","Refraction test, keratometry.","Blurred vision, eye strain.","Glasses, contacts, LASIK. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tendon Laceration,"Surgical repair, rehab.","Clinical exam, MRI.","Pain, loss of motion, trauma.","Surgical repair, rehab. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Polyarticular JIA,"NSAIDs, DMARDs, biologics.","Clinical, labs (RF, ANA).","Multiple joint pain, swelling, stiffness.","NSAIDs, DMARDs, biologics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
NMOSD (Neuromyelitis Optica Spectrum Disorder),"Steroids, rituximab.","AQP4IgG, MRI.","Optic neuritis, myelitis, vision loss.","Steroids, rituximab. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Taenia solium (Pork Tapeworm),"Praziquantel, albendazole.","Stool (eggs), CT/MRI (brain).","Abdominal pain, neurocysticercosis.","Praziquantel, albendazole. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chikungunya Hemorrhagic Fever,"Supportive, pain relief.","RTPCR, serology.","Fever, joint pain, rare bleeding.","Supportive, pain relief. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fungal Nails (Onychomycosis),Oral antifungals (terbinafine).,"KOH prep, culture.","Thick, discolored nails.",Oral antifungals (terbinafine). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Fatty Liver (Nonalcoholic Fatty Liver),"Weight loss, manage risks.","Ultrasound, LFTs, biopsy (if NASH).","Often asymptomatic, fatigue.","Weight loss, manage risks. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ascites,"Diuretics, treat cause (e.g., cirrhosis).","Ultrasound, paracentesis.","Abdominal swelling, discomfort.","Diuretics, treat cause (e.g., cirrhosis). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Iron Overload,"Phlebotomy, chelation.","Ferritin, transferrin saturation, genetic testing.","Fatigue, joint pain, liver damage.","Phlebotomy, chelation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Angina Symptoms,"Nitrates, betablockers, PCI.","ECG, stress test, angiography.","Chest pain, pressure, dyspnea.","Nitrates, betablockers, PCI. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Low Back Strain,"Rest, PT, NSAIDs.","Clinical exam, imaging (if red flags).","Pain, stiffness, muscle spasm.","Rest, PT, NSAIDs. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vaginal Pain (Vulvodynia),"Topical lidocaine, PT, amitriptyline.","Clinical, rule out infection.","Burning, stinging, pain in vulva.","Topical lidocaine, PT, amitriptyline. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hip Sprain,"RICE, PT.","Clinical exam, MRI (if severe).","Pain, swelling, limited motion.","RICE, PT. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Listeria monocytogenes (Listeriosis),"Ampicillin, gentamicin.",Blood/CSF culture.,"Fever, diarrhea, meningitis (pregnant).","Ampicillin, gentamicin. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Acquired Cytomegalovirus,"Ganciclovir, supportive.","PCR, serology.","Fever, fatigue, retinitis (immunocompromised).","Ganciclovir, supportive. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Acute Intermittent Porphyria,"Hemin, glucose, avoid triggers.","Urine porphobilinogen, genetic testing.","Abdominal pain, neuropathy, psychosis.","Hemin, glucose, avoid triggers. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bone Biopsy,N/A (depends on results).,Histopathology.,N/A (diagnostic for bone lesions).,N/A (depends on results). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Laceration,"Sutures, cleaning, antibiotics.","Clinical exam, imaging (if deep).","Open wound, bleeding, pain.","Sutures, cleaning, antibiotics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Focal Nodular Hyperplasia,"Observation, resection (symptomatic).",CT/MRI (central scar).,"Often asymptomatic, RUQ pain (if large).","Observation, resection (symptomatic). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cholangiocarcinoma of Biliary Tract,"Surgery, stenting, chemo.","MRCP/CT, biopsy, CA 199.","Jaundice, pain, weight loss.","Surgery, stenting, chemo. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Atypical Mole,Excision (if suspicious).,"Dermoscopy, biopsy.","Irregular borders, color change.",Excision (if suspicious). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Perforated Bowel,"Surgery, antibiotics.","Xray (free air), CT.","Severe pain, peritonitis, fever.","Surgery, antibiotics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nonalcoholic Fatty Liver Disease,"Weight loss, manage risks.","Ultrasound, LFTs, biopsy (if NASH).","Often asymptomatic, fatigue.","Weight loss, manage risks. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Formula Intolerance,"Hydrolyzed formula, soy.","Clinical history, trial elimination.","Vomiting, diarrhea, fussiness (infants).","Hydrolyzed formula, soy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Enterovirus (NonPolio Enterovirus Infection),Supportive.,"PCR (stool/throat), clinical.","Fever, rash, respiratory issues.",Supportive. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Enterovirus (NonPolio Enterovirus Infection),"Supportive care, hydration, analgesics (ibuprofen 400 mg)","RTPCR (enterovirus), clinical history, CSF (if neuro)","Fever, rash, sore throat, myalgia","Supportive care, hydration, analgesics (ibuprofen 400 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
DISH (Diffuse Idiopathic Skeletal Hyperostosis),"NSAIDs (naproxen 500 mg), physical therapy","Xray (flowing ossification), clinical exam","Spine stiffness, pain, reduced mobility","NSAIDs (naproxen 500 milligrams), physical therapy This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bunionectomy,"Pain relief (acetaminophen 1 g), elevation, monitor","Postop Xray, clinical exam, wound check","Postop foot pain, swelling, stiffness","Pain relief (acetaminophen 1 g), elevation, monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Worms and Flukes,"Praziquantel (40 mg/kg single dose), albendazole","Stool ova/parasites (e.g., Schistosoma), serology","Abdominal pain, diarrhea, eosinophilia, travel history","Praziquantel (40 milligrams/kg single dose), albendazole This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cavernous Hepatic Hemangioma,"Observation, surgery (if symptomatic)","Ultrasound (hyperechoic), MRI, incidental finding","Often asymptomatic, RUQ pain, mass","Observation, surgery (if symptomatic) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Inclusion Body Myositis,"Physical therapy, supportive, no cure","Biopsy (rimmed vacuoles), EMG, CK (mildly high)","Muscle weakness, atrophy, dysphagia","Physical therapy, supportive, no cure This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Aspiration of Vomitus,"Antibiotics (clindamycin 600 mg IV), oxygen","Chest Xray (infiltrate), clinical history","Cough, dyspnea, fever, aspiration event","Antibiotics (clindamycin 600 milligrams intravenous), oxygen This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mitral Valve Stenosis,"Balloon valvuloplasty, diuretics (furosemide 20 mg)","Echo (valve area <1.5 cm²), ECG (LAE)","Dyspnea, fatigue, murmur, palpitations","Balloon valvuloplasty, diuretics (furosemide 20 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Complications of Infection,"Antibiotics (e.g., vancomycin), supportive care","Blood culture, imaging (e.g., CT), labs (CRP)","Fever, sepsis, organ dysfunction, sitespecific","Antibiotics (e.g., vancomycin), supportive care This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
IBS (Irritable Bowel Syndrome),"Fiber (25 g daily), antispasmodics (dicyclomine 20 mg)","Rome IV criteria, rule out organic, clinical","Abdominal pain, bloating, diarrhea/constipation","Fiber (25 g daily), antispasmodics (dicyclomine 20 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
AIDS (HIV Infection),"ART (tenofovir/emtricitabine), prophylaxis (TMPSMX)","HIV ELISA/Western blot, CD4 (<200), viral load","Fever, weight loss, infections, low CD4","ART (tenofovir/emtricitabine), prophylaxis (TMPSMX) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperparathyroidism Secondary to Renal Impairment,"Cinacalcet (30 mg daily), vitamin D (calcitriol)","Labs (PTH >65 pg/mL, low Ca), renal ultrasound","Bone pain, fatigue, high PTH, CKD","Cinacalcet (30 milligrams daily), vitamin D (calcitriol) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HIV/AIDS (HIV Infection),"ART (dolutegravir 50 mg), monitor resistance","HIV PCR, CD4 count, clinical staging","Night sweats, lymphadenopathy, opportunistic infections","ART (dolutegravir 50 milligrams), monitor resistance This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Eye Infection, Bacterial","Erythromycin ointment (0.5%), fluoroquinolone drops","Clinical exam, culture (e.g., S. aureus), swab","Redness, discharge, pain, crusting","Erythromycin ointment (0.5%), fluoroquinolone drops This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Temporomandibular Joint Syndrome (TMJ),"Bite guard, NSAIDs (ibuprofen 400 mg), PT","Clinical (jaw exam), MRI (if severe), Xray","Jaw pain, clicking, limited motion","Bite guard, NSAIDs (ibuprofen 400 milligrams), PT This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Laparoscopic Appendectomy,"Pain relief (morphine 2 mg IV), antibiotics (if perforated)","Postop exam, ultrasound (if complications)","Postop abdominal pain, nausea, fatigue","Pain relief (morphine 2 milligrams intravenous), antibiotics (if perforated) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Duchenne Muscular Dystrophy,"Prednisone (0.75 mg/kg daily), supportive care","Genetic (DMD mutation), CK (>10,000 U/L), biopsy","Muscle weakness, Gowers’ sign, calf hypertrophy","Prednisone (0.75 milligrams/kg daily), supportive care This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Stuttering,"Speech therapy, CBT, no specific meds","Clinical (speech eval), history, rule out neuro","Speech dysfluency, repetitions, anxiety","Speech therapy, CBT, no specific meds This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Frequent Bowel Movements,"Treat cause (e.g., loperamide 2 mg PRN), hydration","Stool studies (e.g., C. diff), colonoscopy","Diarrhea, urgency, variable cause","Treat cause (e.g., loperamide 2 milligrams PRN), hydration This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Menstrual Pain,"NSAIDs (naproxen 500 mg), heat therapy","Clinical history, rule out endometriosis","Cramps, lower abdominal pain, fatigue","NSAIDs (naproxen 500 milligrams), heat therapy This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Forehead Lines,"Botox (20 units), retinoids (tretinoin 0.025%)","Clinical exam, history (sun exposure)","Wrinkles, cosmetic concern, aging","Botox (20 units), retinoids (tretinoin 0.025%) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bicuspid Aortic Valve Disease,"Monitor, valve replacement (if symptomatic)","Echo (bicuspid valve), ECG, CT (if aortopathy)","Murmur, dyspnea, chest pain (if severe)","Monitor, valve replacement (if symptomatic) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Venous Stasis Ulcers,"Compression therapy, wound care, pentoxifylline","Clinical (venous insufficiency), Doppler","Leg ulcers, edema, discoloration, pain","Compression therapy, wound care, pentoxifylline This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Neuroma Excision,"Pain relief (gabapentin 300 mg), monitor healing","Postop exam, ultrasound (if recurrence)","Postop foot pain, numbness, relief of prior pain","Pain relief (gabapentin 300 milligrams), monitor healing This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Gastrointestinal Surgery,"Pain control (opioids), NG tube (if ileus)","Postop imaging (if complications), exam","Postop pain, nausea, bowel changes","Pain control (opioids), NG tube (if ileus) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lipoma vs. Liposarcoma,"Excision (if sarcoma or symptomatic), monitor","MRI (fat signal), biopsy (atypia for sarcoma)","Soft mass, painless (lipoma), pain (sarcoma)","Excision (if sarcoma or symptomatic), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mouth Lesions in Children,"Treat cause (e.g., acyclovir for HSV), hydration","Clinical (e.g., HSV), swab (if unclear)","Oral sores, pain, fever, variable cause","Treat cause (e.g., acyclovir for HSV), hydration This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Trisomy 18 (Edwards Syndrome),"Supportive care, palliative, no cure","Karyotype (47,XX,+18), ultrasound (anomalies)","Growth delay, heart defects, clenched fists","Supportive care, palliative, no cure This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Sore Throat Home Remedies,"Saltwater gargle, honey/lemon, rest","Clinical (viral likely), rule out strep","Throat pain, scratchiness, mild fever","Saltwater gargle, honey/lemon, rest This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Skin Grafting,"Wound care, antibiotics (if infected), monitor","Postop exam, graft take assessment","Postop pain, donor site soreness, healing","Wound care, antibiotics (if infected), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Magnesium Imbalance,"Mg sulfate (2 g IV for low), fluids (for high)","Serum Mg (<1.7 or >2.5 mg/dL), ECG","Muscle cramps (low), arrhythmias (high/low)","Mg sulfate (2 g intravenous for low), fluids (for high) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Strawberry Nevus,"Observation, propranolol (2 mg/kg daily)","Clinical (hemangioma), ultrasound (if deep)","Red birthmark, infancy, growth then regression","Observation, propranolol (2 milligrams/kg daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
MRSA (MethicillinResistant Staphylococcus aureus Infection),"Vancomycin (15 mg/kg IV), drainage","Wound culture (MRSA), clinical exam","Skin abscess, fever, cellulitis","Vancomycin (15 milligrams/kg intravenous), drainage This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Epidural Adhesiolysis,"Pain management (steroids), PT, monitor","Postop MRI (if persistent), clinical","Postop back pain, relief of prior radiculopathy","Pain management (steroids), PT, monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Giant Cell Tumor of Bone,"Curettage, denosumab (120 mg SC monthly)","Xray (lytic lesion), biopsy (giant cells)","Bone pain, swelling, pathological fracture","Curettage, denosumab (120 milligrams SC monthly) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Barrett’s Esophagus,"PPI (esomeprazole 40 mg), surveillance","Endoscopy (metaplasia), biopsy (no dysplasia)","Heartburn, dysphagia, GERD history","PPI (esomeprazole 40 milligrams), surveillance This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Atrial Flutter vs. Atrial Fibrillation,"Rate control (metoprolol 25 mg), ablation","ECG (sawtooth vs. chaotic), Holter monitor","Palpitations, dyspnea, irregular/regular pulse","Rate control (metoprolol 25 milligrams), ablation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Leukemia, Hairy Cell","Cladribine (0.1 mg/kg IV x7 days), supportive","Peripheral smear (hairy cells), flow cytometry","Fatigue, splenomegaly, infections, pancytopenia","Cladribine (0.1 milligrams/kg intravenous x7 days), supportive This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Blurred Vision,"Treat cause (e.g., glasses, glucose control)","Eye exam, fundoscopy, labs (glucose)","Vision haze, variable cause (e.g., DM)","Treat cause (e.g., glasses, glucose control) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Growth Retardation,"Treat cause (e.g., GH 0.3 mg/kg weekly)","Growth charts, labs (IGF1), Xray (bone age)","Short stature, delayed milestones, variable cause","Treat cause (e.g., GH 0.3 milligrams/kg weekly) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
